target_id,dimension_id,candidate_id,excluded_geography_id,remaining_geography_count,remaining_row_count,year_demeaned_pearson,year_demeaned_spearman,same_sign_as_primary_pooled_spearman,claim_type,causal_claim
poverty_rate,living_standards_inclusion,expected_years_schooling,idn.13.1301,18,72,0.34127552436,0.338947351507,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,expected_years_schooling,idn.13.1302,18,72,0.0581004559899,0.252365524845,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,expected_years_schooling,idn.13.1303,18,72,0.0443461016993,0.204725422264,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,expected_years_schooling,idn.13.1304,18,72,-0.0198240595269,0.122163179012,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,expected_years_schooling,idn.13.1305,18,72,0.0778704644016,0.299410729082,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,expected_years_schooling,idn.13.1306,18,72,0.040429715124,0.21975689755,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,expected_years_schooling,idn.13.1307,18,72,0.0407241533616,0.223681777628,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,expected_years_schooling,idn.13.1308,18,72,0.0361583311254,0.193197257043,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,expected_years_schooling,idn.13.1309,18,72,0.0158644912508,0.181379681816,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,expected_years_schooling,idn.13.1310,18,72,0.0087919765949,0.172054248303,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,expected_years_schooling,idn.13.1311,18,72,-0.00771012553441,0.149544581204,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,expected_years_schooling,idn.13.1312,18,72,0.0467656922191,0.227910379376,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,expected_years_schooling,idn.13.1371,18,72,0.0325676696664,0.196607444354,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,expected_years_schooling,idn.13.1372,18,72,0.0660430198252,0.285601736511,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,expected_years_schooling,idn.13.1373,18,72,0.00110757641772,0.180157728459,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,expected_years_schooling,idn.13.1374,18,72,-0.031275326778,0.116295522163,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,expected_years_schooling,idn.13.1375,18,72,0.0198860604483,0.160607765918,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,expected_years_schooling,idn.13.1376,18,72,0.0362946628341,0.216028490814,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,expected_years_schooling,idn.13.1377,18,72,0.0718821759463,0.262896833381,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,life_expectancy,idn.13.1301,18,72,0.167084938649,0.177924270463,false,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,life_expectancy,idn.13.1302,18,72,-0.280658563576,0.0465471500985,false,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,life_expectancy,idn.13.1303,18,72,-0.28491416419,-0.0015435324385,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,life_expectancy,idn.13.1304,18,72,-0.337150133633,-0.0394565479591,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,life_expectancy,idn.13.1305,18,72,-0.260981538869,0.0192616888546,false,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,life_expectancy,idn.13.1306,18,72,-0.289001532273,-0.00418040035427,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,life_expectancy,idn.13.1307,18,72,-0.294207756982,-0.0345686952372,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,life_expectancy,idn.13.1308,18,72,-0.282848161696,-0.0112710024936,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,life_expectancy,idn.13.1309,18,72,-0.347332380072,-0.0362569338418,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,life_expectancy,idn.13.1310,18,72,-0.33624379437,-0.0320443765617,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,life_expectancy,idn.13.1311,18,72,-0.270144418132,0.00895563183861,false,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,life_expectancy,idn.13.1312,18,72,-0.257123161335,0.0880778197718,false,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,life_expectancy,idn.13.1371,18,72,-0.301275477149,-0.0408392957686,true,derived_association_diagnostic,false
