target_id,candidate_id,candidate_domain,candidate_claim_type,screen_type,candidate_lag_years,primary_row_count,primary_target_year_count,primary_target_years,primary_geography_count,within_year_pearson,within_year_rank_association,geography_block_permutation_p_two_sided,permutation_count,permutation_seed,geo_loo_min,geo_loo_max,geo_loo_median,geo_loo_sign_retention,year_loo_min,year_loo_max,year_loo_median,year_loo_sign_retention,all_benchmark_row_count,all_rows_within_year_rank_association,stable_association_signal,association_direction,causal_claim,policy_priority_claim,monetary_wasted_potential_claim
poverty_rate,annual_rainfall,hydroclimate_context,model_estimate,core,1,81,6,2019|2020|2021|2022|2023|2024,15,0.14270184814705628,0.0704110704110704,0.78,4999,140014,-0.09230769230769231,0.21641025641025644,0.07692307692307693,0.8666666666666667,0.01598401598401598,0.12087912087912087,0.08456760630673674,1.0,114,0.011695906432748537,False,higher_candidate_larger_adverse_gap,False,False,False
poverty_rate,expected_years_schooling,human_capital_forward_looking,observed,core,1,81,6,2019|2020|2021|2022|2023|2024,15,0.15872653197937936,0.1282051282051282,0.6382,4999,140014,0.03384615384615385,0.2974358974358975,0.1076923076923077,1.0,0.07501194457716197,0.18203535594839942,0.12387612387612386,1.0,114,0.16170772760514676,False,higher_candidate_larger_adverse_gap,False,False,False
poverty_rate,underemployment_rate,labor_utilization_stress,observed,core,1,81,6,2019|2020|2021|2022|2023|2024,15,0.05550308323178223,0.0940362323570413,0.6982,4999,140014,0.0,0.22364709635292615,0.07181328781974693,0.9333333333333333,0.06929510353141817,0.1239070735640212,0.0929206957941123,1.0,114,0.06988814990529851,False,higher_candidate_larger_adverse_gap,False,False,False
poverty_rate,life_expectancy,health_capability,observed,health_extension,1,55,4,2021|2022|2023|2024,15,0.18135133383621843,0.197280887629025,0.4702,4999,140014,0.08130672041967733,0.28375130495972956,0.204978995517605,1.0,0.14144376178634824,0.24028270403209714,0.2056900211805529,1.0,76,0.01579293742751954,False,higher_candidate_larger_adverse_gap,False,False,False
real_grdp_growth,annual_rainfall,hydroclimate_context,model_estimate,core,1,81,6,2019|2020|2021|2022|2023|2024,15,0.08495410535508102,-0.08262108262108261,0.5748,4999,140014,-0.1548717948717949,-0.02312411514865502,-0.07794871794871795,1.0,-0.1361681796464405,-0.006993006993006992,-0.08652217347869522,1.0,114,-0.13187134502923978,False,higher_candidate_smaller_adverse_gap,False,False,False
real_grdp_growth,expected_years_schooling,human_capital_forward_looking,observed,core,1,81,6,2019|2020|2021|2022|2023|2024,15,-0.0278863649782558,-0.22344322344322345,0.1466,4999,140014,-0.3948717948717949,-0.17159763313609466,-0.21230769230769234,1.0,-0.33301481127568083,-0.16583416583416583,-0.20764018590105546,1.0,114,-0.22165363024358273,False,higher_candidate_smaller_adverse_gap,False,False,False
real_grdp_growth,underemployment_rate,labor_utilization_stress,observed,core,1,81,6,2019|2020|2021|2022|2023|2024,15,-0.004433941931243801,0.03989415918177509,0.8006,4999,140014,-0.02761341222879684,0.1718389387115373,0.03847140418915014,0.7333333333333333,-0.04146889962021677,0.1409460105112279,0.04596552728987883,0.6666666666666666,114,0.047225674517597106,False,higher_candidate_larger_adverse_gap,False,False,False
real_grdp_growth,life_expectancy,health_capability,observed,health_extension,1,55,4,2021|2022|2023|2024,15,-0.1619214309432103,-0.36042813194393714,0.0742,4999,140014,-0.4631579252478048,-0.3043922546204527,-0.3470054675054086,1.0,-0.39717425431711145,-0.3313702650377287,-0.35675496040476096,1.0,76,-0.3241939099704706,False,higher_candidate_smaller_adverse_gap,False,False,False
unemployment_rate,annual_rainfall,hydroclimate_context,model_estimate,core,1,81,6,2019|2020|2021|2022|2023|2024,15,0.42040116549595086,0.45787545787545786,0.0056,4999,140014,0.396011396011396,0.5177514792899408,0.45948717948717954,1.0,0.41997133301481127,0.48494983277591974,0.462037962037962,1.0,114,0.3333333333333333,True,higher_candidate_larger_adverse_gap,False,False,False
unemployment_rate,expected_years_schooling,human_capital_forward_looking,observed,core,1,81,6,2019|2020|2021|2022|2023|2024,15,0.302769147838753,-0.07773707773707773,0.679,4999,140014,-0.2052799271734183,-0.0010256410256410259,-0.06182161396885322,1.0,-0.14476827520305782,-0.020979020979020976,-0.07008209182122224,1.0,114,-0.052635426706919376,False,higher_candidate_smaller_adverse_gap,False,False,False
unemployment_rate,life_expectancy,health_capability,observed,health_extension,1,55,4,2021|2022|2023|2024,15,0.08813569528147445,-0.06537460499143644,0.8002,4999,140014,-0.25400069568999745,0.10598911768993653,-0.07840290897611743,0.8,-0.15170393103509888,0.018838304552590265,-0.06124853240033849,0.75,76,-0.044966002397798695,False,higher_candidate_smaller_adverse_gap,False,False,False
