target_id,dimension_id,candidate_id,candidate_domain,candidate_claim_type,primary_row_count,pooled_year_demeaned_pearson,pooled_year_demeaned_spearman,absolute_primary_spearman,association_direction,same_sign_annual_spearman_count,annual_year_count,annual_spearman_min,annual_spearman_max,loo_spearman_min,loo_spearman_median,loo_spearman_max,loo_same_sign_count,all_loo_same_sign,support_safe_row_count,support_safe_year_demeaned_pearson,support_safe_year_demeaned_spearman,support_safe_same_sign,favorable_peer_sensitivity_row_count,favorable_peer_sensitivity_year_demeaned_pearson,favorable_peer_sensitivity_year_demeaned_spearman,stable_abs_spearman_threshold,stable_min_same_sign_annual_count,stable_require_all_loo_same_sign,stable_min_support_safe_rows,stable_require_support_safe_same_sign,stable_association_candidate,p_value_selection_used,claim_type,causal_claim,bottleneck_causal_claim,policy_effect_claim,monetary_wasted_potential_claim
poverty_rate,living_standards_inclusion,expected_years_schooling,education_human_capital_aspiration,observed,76,0.0410124360407,0.209803211237,0.209803211237,positive_association_with_adverse_gap,4,4,0.170175438596,0.317683224966,0.116295522163,0.204725422264,0.338947351507,19,true,55,0.249978090232,0.221861471861,true,55,0.241934085841,0.217893217893,0.25,3,true,40,true,false,false,derived_association_diagnostic,false,false,false,false
poverty_rate,living_standards_inclusion,life_expectancy,health_human_development,observed,76,-0.279760385814,-0.00112102259199,0.00112102259199,negative_association_with_adverse_gap,1,4,-0.080701754386,0.0649407697445,-0.0667899348909,-0.00897178229877,0.177924270463,12,false,55,0.181351333836,0.178430346897,false,55,0.172176773319,0.176554411183,0.25,3,true,40,true,false,false,derived_association_diagnostic,false,false,false,false
poverty_rate,living_standards_inclusion,underemployment_rate,labor_market_slack_quality,observed,76,0.442521980581,0.0846479835954,0.0846479835954,positive_association_with_adverse_gap,3,4,-0.0491228070175,0.173684210526,-0.0834137243553,0.0933822110747,0.227667374108,18,false,55,-0.0305290455956,0.0575036075036,true,55,-0.0248357829825,0.0621933621934,0.25,3,true,40,true,false,false,derived_association_diagnostic,false,false,false,false
poverty_rate,living_standards_inclusion,annual_rainfall,climate_context,model_estimate,76,0.0326622723746,0.0079015721121,0.0079015721121,positive_association_with_adverse_gap,3,4,-0.321052631579,0.177192982456,-0.0811627757412,0.0131519711879,0.0915814521834,12,false,55,0.161486983666,0.119191919192,true,55,0.165128089279,0.120923520924,0.25,3,true,40,true,false,false,derived_association_diagnostic,false,false,false,false
unemployment_rate,labor_market,expected_years_schooling,education_human_capital_aspiration,observed,76,0.297140105475,-0.0825979671787,0.0825979671787,negative_association_with_adverse_gap,4,4,-0.268538858673,-0.0368421052632,-0.272031513822,-0.0800701015373,0.000916465017595,18,false,55,0.40372337094,-0.0213564213564,true,55,0.39168754872,-0.0402597402597,0.25,3,true,40,true,false,false,derived_association_diagnostic,false,false,false,false
unemployment_rate,labor_market,life_expectancy,health_human_development,observed,76,0.124859946022,-0.0437198810878,0.0437198810878,negative_association_with_adverse_gap,3,4,-0.169372548117,0.0947368421053,-0.211672964092,-0.0440710668117,0.0455342069357,14,false,55,0.0881356952815,-0.0338389942154,true,55,0.0789628202894,-0.0488464799228,0.25,3,true,40,true,false,false,derived_association_diagnostic,false,false,false,false
unemployment_rate,labor_market,underemployment_rate,labor_market_slack_quality,observed,76,-0.0835484986264,0.0662200956938,0.0662200956938,positive_association_with_adverse_gap,3,4,-0.0561403508772,0.168421052632,-0.0543121744164,0.0787510450833,0.205575921281,16,false,55,0.0137708253631,0.0290043290043,true,55,0.0228709938002,0.0506493506494,0.25,3,true,40,true,false,false,derived_association_diagnostic,false,false,false,false
unemployment_rate,labor_market,annual_rainfall,climate_context,model_estimate,76,0.402184739912,0.386247436774,0.386247436774,positive_association_with_adverse_gap,4,4,0.266666666667,0.591228070175,0.314843398289,0.392018779343,0.443211782108,19,true,55,0.489465817063,0.528787878788,true,55,0.490943963346,0.542352092352,0.25,3,true,40,true,true,false,derived_association_diagnostic,false,false,false,false
real_grdp_growth,economic_dynamism,expected_years_schooling,education_human_capital_aspiration,observed,76,-0.175934027637,-0.272756478178,0.272756478178,negative_association_with_adverse_gap,4,4,-0.487719298246,-0.164912280702,-0.372309893815,-0.255950993247,-0.225514707663,19,true,55,-0.169952890514,-0.267316017316,true,55,-0.168573083089,-0.265945165945,0.25,3,true,40,true,true,false,derived_association_diagnostic,false,false,false,false
real_grdp_growth,economic_dynamism,life_expectancy,health_human_development,observed,76,-0.238478146745,-0.294774257666,0.294774257666,negative_association_with_adverse_gap,4,4,-0.447368421053,-0.259649122807,-0.367778760398,-0.286164482712,-0.223860438971,19,true,55,-0.161921430943,-0.269088547817,true,55,-0.155286621104,-0.259600642189,0.25,3,true,40,true,true,false,derived_association_diagnostic,false,false,false,false
real_grdp_growth,economic_dynamism,underemployment_rate,labor_market_slack_quality,observed,76,0.171741553846,0.0725085440875,0.0725085440875,positive_association_with_adverse_gap,3,4,-0.189473684211,0.20701754386,-0.0396166956074,0.073284455592,0.14457521384,18,false,55,-0.0173876182869,0.0206349206349,true,55,-0.0199751552629,0.0179653679654,0.25,3,true,40,true,false,false,derived_association_diagnostic,false,false,false,false
real_grdp_growth,economic_dynamism,annual_rainfall,climate_context,model_estimate,76,-0.30936363432,-0.235488721805,0.235488721805,negative_association_with_adverse_gap,4,4,-0.433333333333,-0.136842105263,-0.299922824619,-0.233455527687,-0.121101035436,19,true,55,-0.375700633692,-0.197907647908,true,55,-0.372883085204,-0.177272727273,0.25,3,true,40,true,false,false,derived_association_diagnostic,false,false,false,false
