target_id,candidate_id,row_count,target_year_count,within_year_rank_association,reference_type,can_replace_primary_expected_gap_screen,causal_claim
poverty_rate,annual_rainfall,81,6,0.06796906796906797,m12_ambitious_favorable_peer_reference,False,False
poverty_rate,expected_years_schooling,81,6,0.13227513227513227,m12_ambitious_favorable_peer_reference,False,False
poverty_rate,life_expectancy,55,4,0.197280887629025,m12_ambitious_favorable_peer_reference,False,False
poverty_rate,underemployment_rate,81,6,0.08589456721790352,m12_ambitious_favorable_peer_reference,False,False
real_grdp_growth,annual_rainfall,81,6,-0.047619047619047616,m12_ambitious_favorable_peer_reference,False,False
real_grdp_growth,expected_years_schooling,81,6,-0.21937321937321938,m12_ambitious_favorable_peer_reference,False,False
real_grdp_growth,life_expectancy,55,4,-0.33439399721283414,m12_ambitious_favorable_peer_reference,False,False
real_grdp_growth,underemployment_rate,81,6,0.029309994500895987,m12_ambitious_favorable_peer_reference,False,False
unemployment_rate,annual_rainfall,81,6,0.4692714692714693,m12_ambitious_favorable_peer_reference,False,False
unemployment_rate,expected_years_schooling,81,6,-0.09564509564509564,m12_ambitious_favorable_peer_reference,False,False
unemployment_rate,life_expectancy,55,4,-0.08099508583009823,m12_ambitious_favorable_peer_reference,False,False
