target_id,dimension_id,candidate_id,candidate_domain,target_year,feature_year,row_count,pearson,spearman,same_sign_as_primary_pooled_spearman,claim_type,causal_claim
poverty_rate,living_standards_inclusion,expected_years_schooling,education_human_capital_aspiration,2021,2020,19,0.0195432264161,0.173684210526,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,expected_years_schooling,education_human_capital_aspiration,2022,2021,19,0.104222878929,0.317683224966,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,expected_years_schooling,education_human_capital_aspiration,2023,2022,19,0.0755667345895,0.247368421053,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,expected_years_schooling,education_human_capital_aspiration,2024,2023,19,-0.0338369887792,0.170175438596,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,life_expectancy,health_human_development,2021,2020,19,-0.229555380284,0.019298245614,false,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,life_expectancy,health_human_development,2022,2021,19,-0.255514408083,0.0596753019274,false,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,life_expectancy,health_human_development,2023,2022,19,-0.263898014797,0.0649407697445,false,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,life_expectancy,health_human_development,2024,2023,19,-0.374968609299,-0.080701754386,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,underemployment_rate,labor_market_slack_quality,2021,2020,19,0.360902813552,0.119298245614,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,underemployment_rate,labor_market_slack_quality,2022,2021,19,0.433765582517,-0.0491228070175,false,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,underemployment_rate,labor_market_slack_quality,2023,2022,19,0.428029201343,0.0561403508772,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,underemployment_rate,labor_market_slack_quality,2024,2023,19,0.582838095391,0.173684210526,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,annual_rainfall,climate_context,2021,2020,19,0.221980616508,0.177192982456,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,annual_rainfall,climate_context,2022,2021,19,0.109786954238,0.117543859649,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,annual_rainfall,climate_context,2023,2022,19,-0.0582485461422,0.0122807017544,true,derived_association_diagnostic,false
poverty_rate,living_standards_inclusion,annual_rainfall,climate_context,2024,2023,19,-0.183029482721,-0.321052631579,false,derived_association_diagnostic,false
unemployment_rate,labor_market,expected_years_schooling,education_human_capital_aspiration,2021,2020,19,0.435467364596,-0.0368421052632,true,derived_association_diagnostic,false
unemployment_rate,labor_market,expected_years_schooling,education_human_capital_aspiration,2022,2021,19,0.21707769423,-0.268538858673,true,derived_association_diagnostic,false
unemployment_rate,labor_market,expected_years_schooling,education_human_capital_aspiration,2023,2022,19,0.256778319797,-0.080701754386,true,derived_association_diagnostic,false
unemployment_rate,labor_market,expected_years_schooling,education_human_capital_aspiration,2024,2023,19,0.250714648472,-0.0614035087719,true,derived_association_diagnostic,false
unemployment_rate,labor_market,life_expectancy,health_human_development,2021,2020,19,0.22878874937,0.0947368421053,false,derived_association_diagnostic,false
unemployment_rate,labor_market,life_expectancy,health_human_development,2022,2021,19,0.0312630132529,-0.169372548117,true,derived_association_diagnostic,false
unemployment_rate,labor_market,life_expectancy,health_human_development,2023,2022,19,0.129700061632,-0.0175515593904,true,derived_association_diagnostic,false
unemployment_rate,labor_market,life_expectancy,health_human_development,2024,2023,19,0.0911156397278,-0.0877192982456,true,derived_association_diagnostic,false
unemployment_rate,labor_market,underemployment_rate,labor_market_slack_quality,2021,2020,19,-0.0813427125635,-0.0561403508772,false,derived_association_diagnostic,false
unemployment_rate,labor_market,underemployment_rate,labor_market_slack_quality,2022,2021,19,-0.128891013297,0.0824561403509,true,derived_association_diagnostic,false
unemployment_rate,labor_market,underemployment_rate,labor_market_slack_quality,2023,2022,19,-0.0464823042189,0.150877192982,true,derived_association_diagnostic,false
unemployment_rate,labor_market,underemployment_rate,labor_market_slack_quality,2024,2023,19,-0.0850536017771,0.168421052632,true,derived_association_diagnostic,false
unemployment_rate,labor_market,annual_rainfall,climate_context,2021,2020,19,0.392348910723,0.319298245614,true,derived_association_diagnostic,false
unemployment_rate,labor_market,annual_rainfall,climate_context,2022,2021,19,0.295145319018,0.266666666667,true,derived_association_diagnostic,false
unemployment_rate,labor_market,annual_rainfall,climate_context,2023,2022,19,0.462372950137,0.40350877193,true,derived_association_diagnostic,false
